datetime,latitude,longitude,temp_kelvin,power,confidence
2015-11-02T13:00:00,-17.8,124.7,306.6,5.2,47
2015-11-03T23:00:00,-25.2,151.9,312.6,5.2,29
2015-11-13T13:00:00,-13.3,134.4,306.4,5.2,31
2015-11-13T16:00:00,-17.4,125,305.5,5.2,31
2015-11-16T14:00:00,-14.8,132.6,306.9,5.2,30
2015-11-16T17:00:00,-15.6,124.5,305.6,5.2,34
2015-11-29T13:00:00,-16.6,130.9,307.1,5.2,52
2015-12-03T13:00:00,-12.5,136.7,305.5,5.2,33
2015-12-07T14:00:00,-18.8,123.5,306.5,5.2,38
2015-12-08T03:00:00,-29.6,118.7,316.1,5.2,61
2015-12-10T02:00:00,-31.8,115.8,317.4,5.2,45
2015-12-19T03:00:00,-32.6,150.9,314,5.2,58
2015-12-26T03:00:00,-37.9,145.2,311.1,5.2,34
2015-03-08T02:00:00,-32,116,321.1,5.3,24
2015-04-02T00:00:00,-19.4,133.6,317.4,5.3,45
2015-04-02T02:00:00,-29.4,115.7,315.3,5.3,63
2015-04-13T03:00:00,-28.4,150.3,314.1,5.3,46
2015-04-13T14:00:00,-17.1,124.8,306.8,5.3,49
2015-04-15T04:00:00,-38.2,143.8,312.8,5.3,24
2015-04-15T06:00:00,-31.9,116.9,311.3,5.3,41
2015-04-15T13:00:00,-16.3,127.8,308.6,5.3,61
2015-04-19T05:00:00,-33.4,117.2,312.8,5.3,54
2015-04-20T06:00:00,-33.9,118,310.5,5.3,39
2015-04-22T06:00:00,-34.2,118,311.3,5.3,46
2015-04-29T04:00:00,-16.3,124.6,311,5.3,16
2015-05-08T06:00:00,-30.2,115.5,312.5,5.3,53
2015-05-14T01:00:00,-17.8,132.6,311.6,5.3,48
2015-05-14T01:00:00,-14.9,130.6,313.8,5.3,39
2015-05-15T04:00:00,-14.8,125.4,314.4,5.3,59
2015-05-30T05:00:00,-15.4,126.4,312.5,5.3,39
2015-06-08T05:00:00,-14.5,130.2,313.4,5.3,38
2015-06-10T05:00:00,-21.9,117.6,311.4,5.3,47
2015-06-13T05:00:00,-18.7,125.1,315.2,5.3,57
2015-06-19T05:00:00,-14.6,134.9,311.7,5.3,43
2015-07-15T04:00:00,-13.2,135.8,312,5.3,41
2015-07-15T04:00:00,-12.5,135.4,316.1,5.3,41
2015-07-16T05:00:00,-13.4,133.4,313.7,5.3,50
2015-07-18T04:00:00,-15.7,134.5,318.4,5.3,70
2015-07-20T01:00:00,-15.9,135.3,310.7,5.3,30
2015-07-31T01:00:00,-20.8,119.5,311.5,5.3,43
2015-08-14T01:00:00,-17,123.2,318.8,5.3,33
2015-08-15T00:00:00,-12.6,133.2,310.2,5.3,31
2015-08-17T02:00:00,-19.7,130.8,313.6,5.3,45
2015-08-19T04:00:00,-16.9,138.8,318.7,5.3,59
2015-09-06T00:00:00,-28.9,147.7,310,5.3,12
2015-09-10T05:00:00,-18,123.9,320.6,5.3,51
2015-09-25T02:00:00,-16.4,128.6,317.6,5.3,33
2015-10-16T02:00:00,-32.1,115.9,313.7,5.3,54
2015-10-19T04:00:00,-38,145.3,318,5.3,51
2015-11-01T13:00:00,-18.3,135,307.6,5.3,12
2015-11-01T16:00:00,-14.4,134,306.9,5.3,38
2015-11-06T13:00:00,-14.5,134,305,5.3,6
2015-11-08T13:00:00,-14.4,134,306.1,5.3,16
2015-11-09T00:00:00,-33.9,150.9,315.9,5.3,61
2015-11-12T14:00:00,-15.7,129.7,305.1,5.3,17
2015-11-14T15:00:00,-17.5,142.5,306,5.3,16
2015-11-24T13:00:00,-14.8,130.8,306.3,5.3,44
2015-12-02T01:00:00,-25.8,114.7,323.9,5.3,71
2015-12-02T14:00:00,-22.7,121.8,305.2,5.3,20
2015-12-05T12:00:00,-14.2,142.9,305.7,5.3,35
2015-12-07T12:00:00,-16.1,142,305.1,5.3,5
2015-12-20T01:00:00,-17.7,122.8,313.1,5.3,40
2015-12-26T03:00:00,-38.1,145.2,310.9,5.3,26
2015-01-19T03:00:00,-21.2,148.6,310.6,5.4,0
2015-01-29T04:00:00,-37.8,144.8,318.8,5.4,36
2015-02-05T13:00:00,-19.2,138.1,305.8,5.4,38
2015-02-12T01:00:00,-12.8,132.6,313.1,5.4,51
2015-02-28T06:00:00,-31.9,115.9,324.4,5.4,35
2015-03-06T03:00:00,-33.7,149,317.3,5.4,68
